place_id	checkins	users_count	lat	lon
4b4838e9f964a520544a26e3	24298	4632.704545	24.676143	46.67635
4b713499f964a5207c3c2de3	8826.142857	4893.142857	24.70089302	46.69216073
4b73f92df964a5202ec22de3	31570.625	11980.85938	24.74293381	46.67992115
4b7707bff964a52018762ee3	87324.21053	23351.36842	24.71163255	46.67477131
4b7a6a8cf964a520402c2fe3	20004.74627	9355.208955	24.71113203	46.67454927
4b7e983cf964a5206ef42fe3	23768.91304	12389.6087	24.65957518	46.78713062
4b825ddff964a5208bd030e3	20050.46154	10948.15385	24.698043	46.68695306
4b838dfcf964a520950931e3	7860.578947	4821.289474	24.70885767	46.66302076
4b914064f964a5204fad33e3	10040.57143	5839.047619	24.77198115	46.6746483
4b9151a4f964a520bab233e3	25945.95652	12769.82609	24.70298828	46.67886431
4ba8dc8ff964a52005f539e3	18622	9010	24.68892147	46.67367216
4bb23efc14cfd13a6dad14ab	10978.34783	6528.869565	24.69955758	46.69224093
4bb60acd46d4a5932198c5c0	57791.73256	18884.66279	24.69209096	46.66980081
4bb77d15cf2fc9b625449e02	28864.18605	6474.744186	24.7375161	46.70009136
4bc6d588f360ef3b943fdc2d	69193.2439	22646.7561	24.69712918	46.68392301
4bd72b6b32a29521eff2d5b8	12072.47222	5274.166667	24.73519808	46.66282275
4be866169a54a593b7ec0911	40416.45	15723.9	24.74331651	46.65803297
4c03ff16310fc9b6b1a8c661	44605.65854	17226	24.69986628	46.69135879
4c3344e266e40f47ecafc78b	12147.94444	5277	24.7724354	46.67296011
4c47542096abd13aad637001	8025	3366	24.70482475	46.67926989
4c4c53dbc668e21ee8525afb	14060.8	3149	24.71490971	46.67785585
4c717738d274b60c198cdc0d	2891	819	24.70175929	46.69163711
4c72de26ad69b60c9ea884b9	6562	1825	24.68835901	46.73298711
4c7c1f55566db60c31c34c0e	10613.66667	3200	24.767025	46.75593734
4c991410db10b60cd70b876d	6994	3451	24.68913547	46.68448149
4cab502436fa6dcbd0e5d778	14260.6	7082	24.69771488	46.68354289
4cd28276fa66236aa08aeb2e	9111	1717	24.67236808	46.73681614
4d2633cbf9406dcb83dd928d	13369.45455	3064	24.68628194	46.74685044
4d3c618eaf8ca1432c3d01f7	11824	4063	24.67567677	46.66904637
4d624f7b5b276dcb21c82dc6	17542.52381	3782.690476	24.72244522	46.77511781
4d98c87b744f3704d7dff757	1988	1487	24.78059864	46.73057464
4d9dd2577865a0935060f07a	17492.29268	5625.170732	24.74656329	46.57560396
4da8c9ac6a2303012ee5332a	15912.52941	2381.588235	24.77113597	46.74652459
4db11e66f7b1bd003ad6563f	7189	3266	24.736669	46.68378815
4db599fc81543d71da5b8e83	25870.5	12777.5	24.69787485	46.6836977
4dc3c7efc65b89d3ca43008f	23494.89855	13156.88406	24.66588465	46.63067579
4ddb3bfeb0fb97d348c32cdd	12246.07143	4136	24.74540173	46.62024472
4de5251be4cd056f748352ed	36481.16129	8099	24.68221363	46.62853127
4de687327d8b53987c634f39	11965.5	6034.637931	24.70409932	46.7022663
4dff6b25ae605b47b1757f8b	34566	12765	24.69345442	46.67367216
4e0ef3a752b1b27c1b8bcd2a	11470.79487	7656.128205	24.70375256	46.70199264
4e3c350fa809ba757bf8fa7d	22157.57746	6253.830986	24.73056174	46.67179067
4e595f62b61c4aaa3dfd1dee	24371.05	12645.5	24.6997348	46.69093895
4e5bcac318388cd5cbc1a9c5	3638.833333	2162.833333	24.71101655	46.67442666
4e6e352ed1647053b9ff9315	40230.37179	13886.38462	24.78089905	46.73062185
4e70f59ed4c03fcb65916790	2670.517241	2148.517241	24.7181137	46.6939109
4eca8b0b9a52756c593bb508	14743.86667	3652	24.77239179	46.67309686
4ee9c695e5faa8713ee3cfbb	11546.625	1766	24.72133953	46.67883601
4eeb95d3be7be63d1e618a70	1741.535714	1406	24.68670434	46.71315259
4eecae9a29c28028ddd9bdcb	19540	6341	24.72115697	46.77497605
4ef3a65261af302a96f53a93	13553	7182	24.7060521	46.64052307
4f381abfe4b0f4cfdf4e0c3f	13982	1453	24.77057857	46.70120941
4f51f6aae4b036244999f0f5	17499.71429	1962	24.71649114	46.60472586
4f68eb88e4b0b4f7926b1ac8	43963.19027	14109.89381	24.74868194	46.70097822
